Image No,Image Pixel,Processing Time,Iteration,Combination,Current Script,Execution Time (seconds),RAM Memory Usage (MB),CPU Usage Per Core,GPU Usage (%),GPU Memory Usage (MB),Total RAM (GB),Total CPU Cores,Total GPU Memory (GB),CPU Model,GPU Model,CPU Clock Speed (MHz),GPU Clock Speed (MHz),Number of Cores Used,File,Duration
,,390.0,1,ss,speech.py,179.6591022014618,2355.359375,"[100.0, 30.0, 33.3, 0.0, 0.0, 10.0, 0.0, 11.1, 0.0, 20.0, 0.0, 33.3, 11.1, 30.0, 30.0, 0.0, 0.0, 0.0, 44.4, 20.0, 0.0, 0.0, 9.1, 40.0, 45.5, 0.0, 10.0, 20.0, 20.0, 11.1, 100.0, 100.0]",100,7.9814453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,21,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,38.8,1,sd,detect.py,23.47720694541931,1363.35546875,"[0.0, 60.0, 0.0, 0.0, 50.0, 44.4, 50.0, 0.0, 0.0, 9.1, 100.0, 40.0, 0.0, 0.0, 9.1, 50.0, 0.0, 0.0, 16.7, 45.5, 0.0, 0.0, 9.1, 100.0, 44.4, 10.0, 40.0, 10.0, 9.1, 0.0, 0.0, 0.0]",90,4.7216796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,18,,
,,390.0,1,sd,speech.py,109.07220315933228,1684.04296875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]",90,4.7216796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,3,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,38.8,1,dp,detect.py,16.496098518371582,1331.56640625,"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.3]",55,1.9404296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,6,,
1.0,448x640,44.1,1,dp,predict.py,17.17369270324707,1373.671875,"[0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0]",55,1.9404296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,3,,
1.0,448x640,38.5,1,ds,detect.py,22.95321655273437,1330.703125,"[0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 18.2, 18.2, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0]",89,4.7216796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,7,,
,,390.0,1,ds,speech.py,109.62906980514526,1680.69140625,"[0.0, 0.0, 0.0, 100.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 90.0]",89,4.7216796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,5,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,38.7,1,dd,detect.py,16.503005981445312,1334.7734375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",58,1.4619140625,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,2,,
1.0,448x640,44.5,1,ppp,predict.py,19.711817502975464,1352.77734375,"[100.0, 0.0, 27.3, 100.0, 0.0, 100.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",74,3.3251953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,5,,
1.0,448x640,44.2,1,pps,predict.py,31.18077540397644,1359.7109375,"[20.0, 100.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.8, 27.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 9.1, 9.1, 60.0, 0.0, 54.5, 11.1, 27.3]",96,6.1064453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,12,,
,,390.0,1,pps,speech.py,111.2628209590912,1701.28515625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.6, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 36.4]",96,6.1064453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,8,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,43.1,1,ppd,detect.py,18.99577307701111,1347.7734375,"[9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 22.2, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 9.1, 36.4, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]",74,2.8466796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,9,,
1.0,448x640,44.3,1,ppd,predict.py,19.314630270004272,1356.703125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 63.6, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 88.9, 0.0, 0.0, 0.0]",74,2.8466796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,5,,
1.0,448x640,43.8,1,psp,predict.py,29.044724464416504,1350.91015625,"[50.0, 10.0, 0.0, 44.4, 63.6, 60.0, 0.0, 70.0, 100.0, 40.0, 0.0, 0.0, 0.0, 100.0, 0.0, 72.7, 22.2, 66.7, 10.0, 72.7, 0.0, 22.2, 0.0, 0.0, 0.0, 0.0, 63.6, 40.0, 0.0, 0.0, 50.0, 0.0]",95,6.1064453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,18,,
,,390.0,1,psp,speech.py,112.33965492248537,1681.875,"[0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 44.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",94,6.1064453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,4,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,43.1,1,pss,predict.py,44.63971638679504,1387.10546875,"[11.1, 18.2, 20.0, 0.0, 0.0, 10.0, 10.0, 20.0, 0.0, 9.1, 27.3, 0.0, 30.0, 20.0, 40.0, 11.1, 45.5, 0.0, 100.0, 0.0, 27.3, 0.0, 40.0, 100.0, 10.0, 90.0, 40.0, 100.0, 20.0, 10.0, 10.0, 20.0]",100,8.8876953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,25,,
,,390.0,1,pss,speech.py,184.22803354263303,1736.56640625,"[0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 88.9, 0.0, 9.1, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.1]",100,8.8876953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,8,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,40.5,1,psd,detect.py,28.04466390609741,1336.23046875,"[60.0, 9.1, 0.0, 10.0, 100.0, 100.0, 10.0, 100.0, 20.0, 0.0, 0.0, 70.0, 66.7, 0.0, 100.0, 0.0, 70.0, 27.3, 40.0, 10.0, 0.0, 0.0, 0.0, 50.0, 55.6, 9.1, 0.0, 0.0, 9.1, 20.0, 0.0, 20.0]",93,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,21,,
1.0,448x640,44.5,1,psd,predict.py,29.65406990051269,1354.1171875,"[0.0, 55.6, 54.5, 60.0, 0.0, 0.0, 66.7, 50.0, 36.4, 20.0, 0.0, 11.1, 55.6, 44.4, 100.0, 18.2, 0.0, 0.0, 70.0, 0.0, 9.1, 0.0, 11.1, 50.0, 0.0, 30.0, 100.0, 9.1, 0.0, 20.0, 10.0, 0.0]",93,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,21,,
,,390.0,1,psd,speech.py,111.99211096763612,1771.9140625,"[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 11.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0]",93,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,3,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,41.0,1,pdp,detect.py,18.8086621761322,1333.3984375,"[0.0, 100.0, 16.7, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 10.0, 9.1, 0.0, 0.0, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 20.0, 27.3, 9.1, 0.0, 0.0, 0.0, 0.0]",73,2.8466796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,10,,
1.0,448x640,45.2,1,pdp,predict.py,19.35240411758423,1368.91015625,"[0.0, 70.0, 100.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 9.1, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0]",73,2.8466796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,7,,
1.0,448x640,43.0,1,pds,detect.py,28.567615270614624,1331.30078125,"[20.0, 0.0, 100.0, 0.0, 0.0, 20.0, 30.0, 33.3, 0.0, 20.0, 9.1, 100.0, 27.3, 40.0, 0.0, 81.8, 0.0, 10.0, 27.3, 10.0, 0.0, 60.0, 30.0, 50.0, 0.0, 0.0, 0.0, 0.0, 9.1, 11.1, 100.0, 0.0]",94,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,20,,
1.0,448x640,61.2,1,pds,predict.py,29.68483018875122,1357.578125,"[70.0, 9.1, 30.0, 10.0, 45.5, 0.0, 0.0, 40.0, 30.0, 18.2, 9.1, 100.0, 20.0, 0.0, 0.0, 100.0, 0.0, 0.0, 10.0, 40.0, 36.4, 40.0, 0.0, 0.0, 27.3, 0.0, 41.7, 0.0, 20.0, 22.2, 60.0, 0.0]",93,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,21,,
,,390.0,1,pds,speech.py,111.08195090293884,1778.0390625,"[9.1, 9.1, 70.0, 0.0, 20.0, 9.1, 0.0, 0.0, 88.9, 30.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",94,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,9,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,41.2,1,pdd,detect.py,18.30863857269287,1334.0859375,"[50.0, 70.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0]",73,2.3681640625,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,4,,
1.0,448x640,44.4,1,pdd,predict.py,18.720849752426147,1356.484375,"[0.0, 0.0, 0.0, 0.0, 9.1, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 0.0, 9.1, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",73,2.3681640625,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,5,,
1.0,448x640,43.4,1,spp,predict.py,28.97342658042908,1362.2890625,"[20.0, 72.7, 9.1, 10.0, 11.1, 0.0, 36.4, 9.1, 0.0, 100.0, 22.2, 40.0, 10.0, 100.0, 36.4, 0.0, 10.0, 0.0, 0.0, 36.4, 18.2, 18.2, 30.0, 30.0, 0.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 0.0]",99,6.1064453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,21,,
,,390.0,1,spp,speech.py,112.41529870033264,1682.703125,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",96,6.1064453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,2,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,45.6,1,sps,predict.py,48.61373257637024,1375.53125,"[20.0, 60.0, 0.0, 10.0, 0.0, 10.0, 0.0, 9.1, 100.0, 10.0, 0.0, 10.0, 0.0, 22.2, 10.0, 0.0, 18.2, 44.4, 0.0, 0.0, 100.0, 40.0, 50.0, 11.1, 0.0, 90.0, 0.0, 60.0, 60.0, 40.0, 30.0, 40.0]",100,8.8876953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,22,,
,,390.0,1,sps,speech.py,182.6097776889801,1776.375,"[90.0, 100.0, 10.0, 0.0, 40.0, 0.0, 90.0, 0.0, 0.0, 90.0, 40.0, 0.0, 0.0, 9.1, 0.0, 40.0, 0.0, 0.0, 45.5, 27.3, 9.1, 10.0, 0.0, 40.0, 30.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0]",100,8.8876953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,16,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,40.8,1,spd,detect.py,27.32162380218506,1340.75,"[10.0, 100.0, 40.0, 0.0, 10.0, 9.1, 90.0, 100.0, 10.0, 20.0, 20.0, 0.0, 0.0, 0.0, 33.3, 0.0, 50.0, 50.0, 0.0, 11.1, 90.0, 9.1, 100.0, 20.0, 10.0, 9.1, 70.0, 0.0, 70.0, 100.0, 0.0, 72.7]",95,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,24,,
1.0,448x640,44.3,1,spd,predict.py,28.734662294387817,1355.97265625,"[100.0, 0.0, 60.0, 0.0, 40.0, 100.0, 18.2, 20.0, 10.0, 44.4, 44.4, 45.5, 0.0, 0.0, 63.6, 60.0, 0.0, 27.3, 33.3, 0.0, 0.0, 0.0, 0.0, 100.0, 22.2, 0.0, 40.0, 0.0, 60.0, 0.0, 0.0, 10.0]",95,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,19,,
,,390.0,1,spd,speech.py,112.05002117156982,1461.7265625,"[0.0, 0.0, 10.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",95,5.6279296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,5,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,42.5,1,ssp,predict.py,41.288591384887695,1355.09765625,"[20.0, 10.0, 0.0, 100.0, 30.0, 40.0, 100.0, 10.0, 0.0, 0.0, 40.0, 70.0, 11.1, 10.0, 11.1, 0.0, 20.0, 44.4, 44.4, 0.0, 0.0, 0.0, 0.0, 40.0, 9.1, 0.0, 0.0, 20.0, 90.9, 20.0, 20.0, 0.0]",100,8.8876953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,21,,
,,390.0,1,ssp,speech.py,184.30605840682983,2382.02734375,"[20.0, 72.7, 9.1, 20.0, 20.0, 0.0, 100.0, 16.7, 20.0, 0.0, 10.0, 0.0, 10.0, 20.0, 20.0, 10.0, 9.1, 90.9, 10.0, 60.0, 20.0, 100.0, 0.0, 0.0, 20.0, 10.0, 0.0, 20.0, 0.0, 20.0, 0.0, 0.0]",100,8.8876953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,23,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
,,390.0,1,sss,speech.py,262.6185784339905,1682.0703125,"[33.3, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 60.0, 100.0, 20.0, 0.0, 10.0, 100.0, 0.0, 16.7, 0.0, 100.0, 0.0, 0.0, 0.0]",100,11.6689453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,12,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,40.7,1,ssd,detect.py,43.5826416015625,1343.30078125,"[80.0, 30.0, 100.0, 0.0, 20.0, 80.0, 0.0, 100.0, 10.0, 30.0, 0.0, 100.0, 63.6, 9.1, 27.3, 70.0, 0.0, 0.0, 80.0, 0.0, 90.0, 22.2, 10.0, 60.0, 20.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0]",100,8.4091796875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,20,,
